date,Days Type,Daily,Weekly,Monthly,FIrstDayofmonth,LastDayoftheMonth,WeekNum,WeekName
8/6/2018,Calendar days,1,1,6,8/1/2018,7/31/2018,32,Monday
8/7/2018,Calendar days,1,2,7,8/1/2018,7/31/2018,32,Tuesday
8/8/2018,Calendar days,1,3,8,8/1/2018,7/31/2018,32,Wednesday
8/9/2018,Calendar days,1,4,9,8/1/2018,7/31/2018,32,Thursday
8/10/2018,Calendar days,1,5,10,8/1/2018,7/31/2018,32,Friday
8/11/2018,Calendar days,1,6,11,8/1/2018,7/31/2018,32,Saturday
8/12/2018,Calendar days,1,7,12,8/1/2018,7/31/2018,33,Sunday
8/13/2018,Calendar days,1,1,13,8/1/2018,7/31/2018,33,Monday
8/14/2018,Calendar days,1,2,14,8/1/2018,7/31/2018,33,Tuesday
8/15/2018,Calendar days,1,3,15,8/1/2018,7/31/2018,33,Wednesday
8/16/2018,Calendar days,1,4,16,8/1/2018,7/31/2018,33,Thursday
8/17/2018,Calendar days,1,5,17,8/1/2018,7/31/2018,33,Friday
8/18/2018,Calendar days,1,6,18,8/1/2018,7/31/2018,33,Saturday
8/19/2018,Calendar days,1,7,19,8/1/2018,7/31/2018,34,Sunday
8/20/2018,Calendar days,1,1,20,8/1/2018,7/31/2018,34,Monday
8/21/2018,Calendar days,1,2,21,8/1/2018,7/31/2018,34,Tuesday
8/22/2018,Calendar days,1,3,22,8/1/2018,7/31/2018,34,Wednesday
8/23/2018,Calendar days,1,4,23,8/1/2018,7/31/2018,34,Thursday
8/24/2018,Calendar days,1,5,24,8/1/2018,7/31/2018,34,Friday
8/25/2018,Calendar days,1,6,25,8/1/2018,7/31/2018,34,Saturday
8/26/2018,Calendar days,1,7,26,8/1/2018,7/31/2018,35,Sunday
8/27/2018,Calendar days,1,1,27,8/1/2018,7/31/2018,35,Monday
8/28/2018,Calendar days,1,2,28,8/1/2018,7/31/2018,35,Tuesday
8/29/2018,Calendar days,1,3,29,8/1/2018,7/31/2018,35,Wednesday
8/30/2018,Calendar days,1,4,30,8/1/2018,7/31/2018,35,Thursday
8/31/2018,Calendar days,1,5,31,8/1/2018,7/31/2018,35,Friday
9/1/2018,Calendar days,1,6,1,9/1/2018,8/31/2018,35,Saturday
9/2/2018,Calendar days,1,7,2,9/1/2018,8/31/2018,36,Sunday
9/3/2018,Calendar days,1,1,3,9/1/2018,8/31/2018,36,Monday
9/4/2018,Calendar days,1,2,4,9/1/2018,8/31/2018,36,Tuesday
9/5/2018,Calendar days,1,3,5,9/1/2018,8/31/2018,36,Wednesday
9/6/2018,Calendar days,1,4,6,9/1/2018,8/31/2018,36,Thursday
9/7/2018,Calendar days,1,5,7,9/1/2018,8/31/2018,36,Friday
9/8/2018,Calendar days,1,6,8,9/1/2018,8/31/2018,36,Saturday
9/9/2018,Calendar days,1,7,9,9/1/2018,8/31/2018,37,Sunday
9/10/2018,Calendar days,1,1,10,9/1/2018,8/31/2018,37,Monday
